id_transaccion,id_cliente,nombre_cliente,cuenta_origen,fecha,monto,divisa,tipo_transaccion,ciudad,cuenta_destino,categoria,hora_movimiento,concepto_movimiento,saldo_previo,saldo_posterior,canal_transaccion,medio_pago,estatus,fraude_probable
3130,1279,Rodolfo Collazo,7.44956e+17,14/07/2025,1513.0,MXN,Pago de servicio,Tuxtla Gutierrez,9.02681e+17,Servicios,11:43:31,Pago internet,21701.59,20188.59,App movil,Tarjeta credito,Completada,No
3131,14340,Gustavo Cordero Valadez,9.0446e+17,14/04/2025,48.12,MXN,Retiro,Merida,9.59492e+17,Efectivo,07:56:10,Retiro en cajero,42157.17,42109.05,Cajero automatico,Efectivo,Completada,No
3132,17851,Mariano Quinonez,1.47407e+17,10/02/2025,357.46,MXN,Retiro,Puebla,5.00344e+17,Efectivo,02:40:47,Retiro por emergencia,39203.35,38845.89,Cajero automatico,Efectivo,Completada,No
3133,9758,Esparta de la Torre,2.50668e+17,25/11/2024,1124.92,MXN,Deposito,Oaxaca,2.50668e+17,Ahorro,00:05:17,Deposito por cheque,5552.67,6677.59,Corresponsal,Cheque,Completada,No
3134,8074,Diego Mesa Montalvo,3.67695e+17,06/06/2025,280.87,MXN,Transferencia,Tuxtla Gutierrez,4.26166e+17,Servicios,12:43:14,Pago a tercero,3806.5,3525.63,Web,SPEI,Completada,No
3135,6363,Fidel Luna,9.91201e+17,16/09/2025,2350.66,MXN,Retiro,Ciudad de Mexico,8.84442e+17,Efectivo,11:04:42,Retiro por emergencia,26422.86,24072.2,Sucursal bancaria,Efectivo,Completada,No
3136,16068,Zoe Roberto Colunga,8.69715e+16,04/06/2025,5613.5,MXN,Pago de nomina,Ciudad de Mexico,7.081e+17,Nomina,13:38:44,Nomina mensual,19813.19,25426.69,Sucursal bancaria,SPEI,Completada,No
3137,1446,Pascual Sandra Suarez,1.77656e+17,21/03/2025,209.46,MXN,Pago de nomina,Veracruz,5.70142e+17,Ingreso,23:02:20,Pago trabajador,26895.02,27104.48,Sucursal bancaria,Transferencia bancaria,Completada,No
3138,12060,Jose Eduardo Padron Sanchez,3.16378e+17,21/07/2025,1481.34,MXN,Pago de nomina,Tijuana,2.02359e+17,Nomina,15:01:57,Nomina mensual,27710.84,29192.18,App movil,SPEI,Completada,No
3139,23747,Elvira Arellano,2.16824e+17,21/02/2025,1190.94,MXN,Deposito,Leon,2.16824e+17,Ingreso,20:45:23,Deposito en efectivo,45959.41,47150.35,Sucursal bancaria,Cheque,Completada,No
3140,14632,Alvaro Irizarry,8.08745e+17,24/01/2025,5049.97,MXN,Retiro,Tijuana,7.15041e+17,Efectivo,00:45:41,Retiro en cajero,41662.18,36612.21,Sucursal bancaria,Efectivo,Completada,No
3141,22248,Zoe Renato Zapata Olivarez,9.64467e+17,12/11/2024,47.94,MXN,Transferencia internacional,Puebla,4.62109e+17,Remesas,22:42:47,SWIFT a extranjero,42055.21,42007.27,Web,Transferencia internacional,Completada,No
3142,18184,Alta Gracia Valencia,8.01252e+17,04/12/2024,343.02,MXN,Transferencia internacional,Morelia,4.3805e+16,Remesas,17:15:22,SWIFT a extranjero,37144.51,36801.49,Sucursal bancaria,SWIFT,Completada,No
3143,11029,Karla Evelio Varela Rico,4.92678e+17,15/07/2025,1097.98,MXN,Pago de servicio,Ciudad de Mexico,7.78175e+17,Servicios,15:52:04,Pago telefonia,23511.44,22413.46,Web,Tarjeta credito,Completada,No
3144,20416,Jeronimo Cavazos,1.59084e+17,15/06/2025,2431.0,MXN,Compra en linea,Aguascalientes,3.00771e+17,Consumo,12:38:53,Compra Amazon,45451.44,43020.44,Web,Tarjeta debito,Completada,No
3145,11080,Irma Aleman,1.29722e+17,23/03/2025,2244.8,MXN,Deposito,Tijuana,1.29722e+17,Ahorro,07:10:41,Deposito en efectivo,15479.51,17724.31,Corresponsal,Cheque,Completada,No
3146,10496,Julia Pabon Caraballo,3.03893e+17,30/01/2025,1204.81,MXN,Deposito,Tuxtla Gutierrez,3.03893e+17,Ingreso,23:43:33,Deposito en efectivo,38996.73,40201.54,Corresponsal,Efectivo,Completada,No
3147,8525,Horacio Orozco,6.2009e+17,28/03/2025,988.04,MXN,Transferencia,Cancun,8.39545e+17,Servicios,13:23:54,Abono a tarjeta,32926.37,31938.33,App movil,SPEI,Completada,No
3148,12690,Jose Maria Aleman,4.38085e+17,11/09/2025,6238.3,MXN,Deposito,Culiacan,4.38085e+17,Ingreso,18:12:26,Deposito por cheque,15622.57,21860.87,Cajero automatico,Efectivo,Completada,No
3149,5289,Ana Alma Barrios Ledesma,2.38119e+17,06/01/2025,1821.1,MXN,Transferencia,Leon,9773550000000000.0,Transferencia personal,01:14:49,Pago a proveedor,23137.67,21316.57,App movil,Transferencia bancaria,Completada,No
3150,11104,Mariana Amador Arteaga Perales,3.08395e+16,31/12/2024,4125.09,MXN,Transferencia,Chihuahua,6.02068e+17,Servicios,12:17:01,Abono a tarjeta,16187.73,12062.64,App movil,Transferencia bancaria,Completada,No
3151,15240,Ruby Ballesteros,2.19843e+17,12/10/2025,1349.68,MXN,Pago de nomina,Hermosillo,9.20428e+17,Ingreso,00:30:47,Nomina mensual,45763.05,47112.73,App movil,SPEI,Completada,No
3152,4081,Abigail Luis Manuel Mora Abrego,8.69485e+17,25/01/2025,1678.82,MXN,Compra en linea,Tuxtla Gutierrez,5.75886e+17,Consumo,04:44:03,Compra Amazon,45926.33,44247.51,Web,Pago movil,Completada,No
3153,17975,Noemi Olivera,7.58191e+17,30/05/2025,2618.15,MXN,Pago de servicio,Ciudad Juarez,6.31982e+17,Servicios,03:05:34,Pago agua,18129.48,15511.33,Domiciliacion,Tarjeta debito,Completada,No
3154,19672,Mateo Haro,7.07e+17,04/01/2025,576.92,MXN,Compra en linea,Queretaro,1.26955e+17,Consumo,14:05:01,Compra tienda online,12778.35,12201.43,Web,Tarjeta debito,Completada,No
3155,15836,Francisca Cepeda,4.75759e+17,19/04/2025,747.24,MXN,Compra en linea,Monterrey,1.8631e+17,Consumo,15:43:40,Compra Amazon,24310.17,23562.93,App movil,Pago movil,Completada,No
3156,16475,Augusto Francisco Javier Guerra Carrero,8.76444e+17,02/05/2025,1486.22,MXN,Transferencia,Toluca,1.11777e+17,Servicios,01:25:21,Abono a tarjeta,39737.79,38251.57,Web,SPEI,Completada,No
3157,1981,Reina Contreras,6.32398e+17,01/09/2025,690.52,MXN,Deposito,Aguascalientes,6.32398e+17,Ingreso,03:35:56,Deposito en efectivo,6623.64,7314.16,Corresponsal,Efectivo,Completada,No
3158,17571,Caridad Cuellar Mireles,2.18135e+17,14/11/2024,3916.02,MXN,Pago de servicio,Tijuana,1.21423e+17,Servicios,18:19:50,Pago luz,2158.31,-1757.71,Domiciliacion,Tarjeta debito,Completada,No
3159,8226,Caridad Jaqueline Limon,5.27348e+16,07/03/2025,193.12,MXN,Transferencia,Chihuahua,8.37139e+17,Transferencia personal,19:09:05,Pago a tercero,9000.53,8807.41,App movil,Transferencia bancaria,Completada,No
3160,4085,Rocio Blanco,1.52942e+17,30/11/2024,1467.8,MXN,Transferencia,Ciudad Juarez,3.51386e+17,Servicios,22:31:57,Pago a proveedor,22124.53,20656.73,Sucursal bancaria,SPEI,Completada,No
3161,24669,Abigail Octavio Zuniga Carreon,1.28433e+17,23/03/2025,1128.39,MXN,Pago de servicio,Veracruz,7.63675e+17,Servicios,14:21:46,Pago agua,45524.51,44396.12,Web,Domiciliacion,Completada,No
3162,2052,Luis Miguel Romero,3.73417e+17,12/10/2025,1012.59,MXN,Transferencia internacional,Puebla,2.38978e+17,Remesas,06:34:34,Pago internacional,3755.83,3755.83,Web,Transferencia internacional,Pendiente,No
3163,23226,Karla Gutierrez,9.61277e+17,15/09/2025,3128.45,MXN,Transferencia,Guadalajara,5.97727e+16,Transferencia personal,21:10:50,Pago a proveedor,40822.25,37693.8,Sucursal bancaria,SPEI,Completada,No
3164,9528,Cristina Abreu,5.84126e+17,25/08/2025,3599.52,MXN,Pago de nomina,Veracruz,1.56622e+17,Nomina,22:47:30,Nomina quincenal,7963.17,11562.69,Sucursal bancaria,SPEI,Completada,No
3165,21323,Anabel Rael Limon,4.22036e+17,12/06/2025,3603.17,MXN,Transferencia,Puebla,8.27481e+17,Transferencia personal,10:02:33,Transferencia a familiar,30061.46,26458.29,Sucursal bancaria,SPEI,Completada,No
3166,12527,Luisa Ruiz,7.84799e+17,04/07/2025,994.78,MXN,Transferencia internacional,Tuxtla Gutierrez,6.79237e+17,Remesas,23:24:27,Envio remesas,57986.1,56991.32,Sucursal bancaria,Transferencia internacional,Completada,No
3167,17048,Helena Olivarez,1.25104e+17,28/10/2024,1854.2,MXN,Deposito,Ciudad de Mexico,1.25104e+17,Ingreso,20:13:34,Deposito por transferencia,4109.09,5963.29,Cajero automatico,Cheque,Completada,No
3168,8302,Helena Villagomez Urias,7.19103e+17,03/12/2024,4692.5,MXN,Transferencia,Leon,3.44648e+17,Transferencia personal,23:52:42,Abono a tarjeta,31233.63,26541.13,Web,Transferencia bancaria,Completada,No
3169,1729,Ramon Feliciano Villarreal,8.63426e+17,16/09/2025,151093.37,MXN,Transferencia internacional,Queretaro,3.83826e+17,Transferencia personal,01:17:30,Abono a tarjeta,1036.97,-150056.4,Web,Transferencia internacional,Completada,Si
3170,10764,Olga Jimenez,9.22669e+16,03/01/2025,1033.99,MXN,Transferencia,Morelia,4.48525e+17,Transferencia personal,13:20:27,Abono a tarjeta,16628.63,15594.64,App movil,Transferencia bancaria,Completada,No
3171,9533,Noemi Garica,5.82024e+17,17/05/2025,1887.52,MXN,Pago de nomina,Tuxtla Gutierrez,6.42567e+16,Nomina,12:16:21,Nomina quincenal,29747.6,31635.12,App movil,SPEI,Completada,No
3172,2900,Alicia Carla Lebron,6.00011e+17,25/09/2025,293.03,MXN,Pago de servicio,Cancun,1.07694e+17,Servicios,04:06:58,Pago telefonia,14941.61,14648.58,App movil,Tarjeta debito,Completada,No
3173,14953,Jos Saldivar,5.11022e+17,16/10/2025,451.64,MXN,Compra en linea,Puebla,6.79436e+17,Consumo,09:14:09,Compra Amazon,41672.63,41220.99,App movil,Tarjeta credito,Completada,No
3174,16055,Aida Serrato,2.71328e+17,04/09/2025,153070.57,MXN,Transferencia,Leon,1.9737e+16,Transferencia personal,04:54:23,Transferencia a familiar,18051.95,-135018.62,App movil,SPEI,Completada,Si
3175,7999,Carolina Trinidad Caban Sosa,7.29814e+17,15/11/2024,249.83,MXN,Retiro,Hermosillo,3.67634e+17,Efectivo,16:01:03,Retiro en ventanilla,22449.24,22199.41,Sucursal bancaria,Efectivo,Completada,No
3176,10390,Jaime Naranjo,8.40401e+17,02/08/2025,1024.42,MXN,Deposito,Veracruz,8.40401e+17,Ingreso,07:27:23,Abono nomina,40800.87,41825.29,Corresponsal,Deposito en ventanilla,Completada,No
3177,4288,Miguel Jacinto Arriaga Valle,8.96553e+17,09/04/2025,132049.59,MXN,Transferencia,Queretaro,5.52002e+17,Transferencia personal,01:57:20,Pago a tercero,56425.46,-75624.13,Sucursal bancaria,SPEI,Completada,Si
3178,1657,Guillermina Juan Robledo Tejeda,7.74573e+17,11/08/2025,189.56,MXN,Pago de servicio,Ciudad de Mexico,4.00315e+17,Servicios,19:17:10,Pago internet,38008.15,37818.59,App movil,Tarjeta credito,Completada,No
3179,10744,Esmeralda Ines Ramon Nieto,8.83501e+17,13/06/2025,877.74,MXN,Transferencia internacional,Cancun,4.38381e+17,Remesas,21:11:10,Envio remesas,15218.43,14340.69,Sucursal bancaria,Transferencia internacional,Completada,No
3180,3639,Wilfrido Armendariz Granado,1.07535e+17,10/03/2025,178.65,MXN,Pago de servicio,Leon,4.40749e+17,Servicios,02:13:17,Pago internet,47749.41,47570.76,Domiciliacion,SPEI,Completada,No
3181,17855,Indira Blanco,8.12661e+17,17/01/2025,3202.04,MXN,Transferencia,Chihuahua,5.20398e+17,Servicios,17:37:00,Abono a tarjeta,16526.41,13324.37,Sucursal bancaria,Transferencia bancaria,Completada,No
3182,5460,Esther Mascarenas,3.07837e+16,28/11/2024,1400.25,MXN,Retiro,Merida,3.67507e+17,Consumo,22:27:11,Retiro por emergencia,45181.39,43781.14,Sucursal bancaria,Efectivo,Completada,No
3183,23757,Karina Luisa Quezada Gracia,4.23237e+16,11/08/2025,701.26,MXN,Transferencia internacional,Tuxtla Gutierrez,2.58194e+17,Transferencia personal,20:25:31,Envio remesas,33347.25,32645.99,Web,Transferencia internacional,Completada,No
3184,15618,Rosa Montenegro,7.85064e+17,23/07/2025,9015.47,MXN,Compra en linea,Morelia,4.5781e+17,Consumo,20:47:06,Compra Amazon,30348.88,21333.41,Web,Tarjeta credito,Completada,No
3185,11099,Fidel Julio de la O Colon,6.51288e+17,17/05/2025,314.75,MXN,Transferencia internacional,Tijuana,9.5187e+16,Transferencia personal,09:42:19,Pago internacional,35033.35,34718.6,Web,SWIFT,Completada,No
3186,12177,Bernardo Benjamin Carrasco Mascarenas,4.21444e+17,28/03/2025,2350.88,MXN,Pago de servicio,San Luis Potosi,9.64761e+17,Servicios,06:51:01,Pago telefonia,36379.89,34029.01,App movil,Tarjeta debito,Completada,No
3187,13177,Jesus Diaz,7.34965e+17,12/02/2025,459.98,MXN,Retiro,Merida,8.53146e+17,Consumo,18:44:28,Retiro en cajero,23724.94,23264.96,Sucursal bancaria,Efectivo,Completada,No
3188,8628,Jonas Alva,2.18035e+17,18/06/2025,229.68,MXN,Compra en linea,Toluca,4.27502e+17,Consumo,12:31:29,Compra Amazon,26640.25,26640.25,Web,Tarjeta credito,Pendiente,No
3189,24009,Amador Vasquez,5.59315e+17,02/11/2024,187410.0,MXN,Transferencia internacional,Chihuahua,1.13123e+17,Remesas,02:54:44,Pago a tercero,26938.59,-160471.41,Web,Transferencia internacional,Completada,Si
3190,3915,Diana Perla Yanez Curiel,1.70565e+17,23/12/2024,1579.39,MXN,Transferencia,Tijuana,7.69501e+16,Servicios,21:02:55,Abono a tarjeta,42967.92,41388.53,Web,Transferencia bancaria,Completada,No
3191,1742,Nayeli Norma Valdez,3.42491e+17,07/10/2025,98.85,MXN,Pago de servicio,Monterrey,9.80972e+17,Servicios,15:24:43,Pago luz,64716.44,64617.59,App movil,Domiciliacion,Completada,No
3192,23707,Salvador Ricardo Vanegas,5.38474e+17,20/12/2024,1067.66,MXN,Retiro,Ciudad de Mexico,2.4215e+16,Efectivo,04:24:56,Retiro en cajero,26433.69,25366.03,Sucursal bancaria,Efectivo,Completada,No
3193,8470,Mayte Rosario Meza,2.63537e+17,27/08/2025,302.73,MXN,Retiro,Ciudad de Mexico,7.22416e+17,Consumo,15:49:49,Retiro en ventanilla,17827.99,17525.26,Cajero automatico,Efectivo,Completada,No
3194,14736,Lilia Diego Madrigal Becerra,6.40806e+17,12/02/2025,5436.62,MXN,Compra en linea,Ciudad Juarez,6.70623e+17,Consumo,21:17:55,Compra Mercado Libre,16960.43,11523.81,App movil,Tarjeta credito,Completada,No
3195,14531,Porfirio Altamirano Moya,1.54676e+17,14/12/2024,490.57,MXN,Pago de nomina,Veracruz,3.99153e+17,Ingreso,09:24:05,Pago trabajador,5601.03,6091.6,App movil,Transferencia bancaria,Completada,No
3196,21758,Florencia Emilia Loya,9.25494e+17,30/10/2024,2387.76,MXN,Pago de nomina,Chihuahua,2.31606e+17,Nomina,12:23:07,Nomina quincenal,31176.85,33564.61,Sucursal bancaria,SPEI,Completada,No
3197,3142,Abigail Ortega Carrion,8.2643e+17,17/05/2025,426.37,MXN,Compra en linea,San Luis Potosi,7.97947e+17,Consumo,23:13:41,Compra Mercado Libre,15880.57,15454.2,App movil,Tarjeta credito,Completada,No
3198,22878,Marco Antonio Sevilla,3.70515e+17,17/01/2025,832.61,MXN,Transferencia internacional,Aguascalientes,5.41592e+17,Transferencia personal,03:57:31,Envio remesas,29317.71,28485.1,Web,SWIFT,Completada,No
3199,17208,Gustavo Aurora Rosas,8.12486e+17,02/02/2025,331.3,MXN,Compra en linea,Oaxaca,5.01451e+17,Consumo,04:52:36,Compra Mercado Libre,4740.37,4409.07,App movil,Tarjeta debito,Completada,No
3200,17690,Luz Ortega,9.5774e+17,29/01/2025,2297.65,MXN,Compra en linea,Guadalajara,9.27517e+17,Consumo,18:29:16,Compra tienda online,42405.22,40107.57,App movil,Tarjeta credito,Completada,No
3201,7866,Isaac Lomeli Valenzuela,8.15937e+16,11/04/2025,606.48,MXN,Compra en linea,Aguascalientes,9.98539e+17,Consumo,13:47:15,Compra tienda online,17212.52,16606.04,Web,Tarjeta debito,Completada,No
3202,13805,Mitzy Fajardo Garica,7.85954e+17,28/03/2025,3597.17,MXN,Compra en linea,Oaxaca,6.70611e+17,Consumo,03:47:22,Compra tienda online,64343.15,60745.98,App movil,Tarjeta credito,Completada,No
3203,12794,Catalina Romo,3.23603e+17,22/04/2025,527.73,MXN,Transferencia,Monterrey,6.02444e+17,Servicios,01:23:48,Abono a tarjeta,11803.32,11275.59,Sucursal bancaria,SPEI,Completada,No
3204,9304,Renato Madrigal Benavides,8.72472e+17,15/06/2025,1794.99,MXN,Pago de nomina,Ciudad Juarez,8.47506e+17,Nomina,18:02:12,Nomina quincenal,14578.28,16373.27,Sucursal bancaria,Transferencia bancaria,Completada,No
3205,1188,Noemi Espino,5.41952e+17,09/09/2025,2895.82,MXN,Pago de servicio,Tuxtla Gutierrez,3.15347e+17,Servicios,15:56:04,Pago internet,41453.39,41453.39,Domiciliacion,Domiciliacion,Pendiente,No
3206,20734,Zacarias Reyna,1.90461e+16,12/03/2025,771.95,MXN,Compra en linea,Monterrey,4.32377e+17,Consumo,09:38:53,Suscripcion streaming,7233.17,6461.22,Web,Tarjeta debito,Completada,No
3207,2912,Oswaldo Venegas Mora,9.24741e+17,07/08/2025,989.34,MXN,Deposito,Oaxaca,9.24741e+17,Ahorro,11:08:48,Abono nomina,21870.27,21870.27,Cajero automatico,Deposito en ventanilla,Rechazada,No
3208,4871,Lorenzo Olivarez,4.24143e+17,24/07/2025,455.1,MXN,Transferencia,Merida,6.50227e+17,Transferencia personal,16:16:08,Transferencia a familiar,49094.66,48639.56,Web,SPEI,Completada,No
3209,5091,Salma Omar Feliciano Escobedo,9.15393e+17,24/12/2024,50.67,MXN,Transferencia,Queretaro,5.03028e+17,Servicios,20:26:55,Abono a tarjeta,85792.89,85742.22,Web,SPEI,Completada,No
3210,22534,Andres Valverde,5.34926e+17,29/10/2024,5496.29,MXN,Transferencia internacional,Monterrey,5.65364e+17,Remesas,03:39:28,SWIFT a extranjero,37177.13,31680.84,Web,Transferencia internacional,Completada,No
3211,16140,Rolando Diaz,6.78481e+17,01/01/2025,284.59,MXN,Transferencia,Ciudad Juarez,2.34474e+17,Transferencia personal,00:21:11,Pago a proveedor,8845.19,8560.6,Sucursal bancaria,SPEI,Completada,No
3212,12801,Daniel Hernan Naranjo,2.54573e+17,13/05/2025,2422.92,MXN,Pago de servicio,Guadalajara,7.98891e+17,Servicios,02:13:59,Pago agua,6546.06,4123.14,App movil,SPEI,Completada,No
3213,9182,Jacobo Genaro Saavedra,4.22069e+17,04/11/2024,1293.3,MXN,Deposito,Puebla,4.22069e+17,Ahorro,08:23:54,Deposito por transferencia,19182.98,20476.28,Cajero automatico,Deposito en ventanilla,Completada,No
3214,23987,Jose Maria Carrera,4.15945e+17,11/10/2025,1897.2,MXN,Transferencia internacional,Hermosillo,9.74244e+17,Transferencia personal,04:25:16,Pago internacional,29838.62,27941.42,Web,SWIFT,Completada,No
3215,21263,Abril Yuridia Rodriquez,3.41252e+17,04/03/2025,543.59,MXN,Compra en linea,Monterrey,1.13083e+17,Consumo,14:13:15,Compra Amazon,14884.8,14341.21,Web,Tarjeta debito,Completada,No
3216,21383,Elvira Rolon,7.12496e+17,09/01/2025,454.55,MXN,Pago de nomina,Queretaro,4.52714e+17,Nomina,15:05:01,Nomina mensual,21482.17,21936.72,Sucursal bancaria,SPEI,Completada,No
3217,14654,Reynaldo Lomeli Alarcon,3.02098e+17,17/03/2025,2221.16,MXN,Retiro,Veracruz,7.99167e+17,Efectivo,16:00:31,Retiro en ventanilla,1579.83,-641.33,Sucursal bancaria,Efectivo,Completada,No
3218,8924,Rafael Avila,3.32532e+17,03/09/2025,444.5,MXN,Deposito,Toluca,3.32532e+17,Ingreso,07:33:53,Abono nomina,44040.42,44484.92,Corresponsal,Cheque,Completada,No
3219,1977,Julia Solorzano,6.1537e+17,03/04/2025,422.74,MXN,Deposito,Veracruz,6.1537e+17,Ahorro,19:28:17,Deposito por cheque,4770.19,5192.93,Sucursal bancaria,Efectivo,Completada,No
3220,14110,Jacobo Mauricio Regalado,7.48632e+17,06/12/2024,1148.17,MXN,Transferencia internacional,Oaxaca,8.96734e+17,Transferencia personal,21:10:25,Envio remesas,31804.83,30656.66,Web,SWIFT,Completada,No
3221,8379,Marco Antonio Jaime Zamudio Sandoval,8.21813e+16,22/06/2025,550.82,MXN,Transferencia,Chihuahua,1.80017e+16,Transferencia personal,12:39:52,Transferencia a familiar,9442.87,8892.05,Web,Transferencia bancaria,Completada,No
3222,25983,Enrique Ilse Hurtado,3.09921e+17,23/08/2025,2406.66,MXN,Compra en linea,Chihuahua,4.63144e+17,Consumo,23:52:10,Suscripcion streaming,45441.17,43034.51,App movil,Pago movil,Completada,No
3223,11245,German Santillan Rolon,3.26738e+17,26/03/2025,924.95,MXN,Pago de servicio,Toluca,7.22113e+17,Servicios,13:43:19,Pago luz,6926.57,6001.62,Web,Tarjeta credito,Completada,No
3224,11740,Guillermina Alcala Muro,8.33367e+17,19/05/2025,214.46,MXN,Transferencia,Leon,9.49853e+17,Servicios,15:56:54,Pago a proveedor,41998.93,41784.47,Sucursal bancaria,Transferencia bancaria,Completada,No
3225,11267,Maria Eugenia Rocha,8.29132e+17,31/01/2025,613.97,MXN,Retiro,Merida,7.50183e+17,Consumo,00:59:07,Retiro por emergencia,23409.28,22795.31,Sucursal bancaria,Efectivo,Completada,No
3226,23506,Lourdes Mercado,5.38779e+17,18/10/2025,1472.48,MXN,Transferencia internacional,Ciudad de Mexico,7.79893e+17,Transferencia personal,04:28:42,Envio remesas,64792.42,63319.94,Web,SWIFT,Completada,No
3227,6470,Alma Catalina Santacruz,6.94466e+17,30/03/2025,2039.44,MXN,Transferencia,Merida,7.93456e+17,Servicios,19:10:21,Transferencia a familiar,60533.42,58493.98,Sucursal bancaria,Transferencia bancaria,Completada,No
3228,11918,Lorenzo Araceli Barrientos Soto,1.19333e+17,16/07/2025,3121.98,MXN,Compra en linea,Cancun,4.80986e+17,Consumo,15:14:23,Compra Mercado Libre,31790.74,28668.76,Web,Tarjeta debito,Completada,No
3229,19229,Felix Calvillo Botello,9.70158e+17,08/08/2025,818.49,MXN,Compra en linea,Oaxaca,1.79837e+17,Consumo,11:27:50,Compra Amazon,12011.76,11193.27,App movil,Tarjeta debito,Completada,No
3230,2395,Guillermina Jimenez Castillo,2.81292e+17,22/02/2025,3359.99,MXN,Retiro,Ciudad Juarez,4.29412e+17,Efectivo,10:05:20,Retiro por emergencia,27499.41,24139.42,Sucursal bancaria,Efectivo,Completada,No
3231,5691,Alfredo Lorenzo Aragon,6.37338e+17,11/10/2025,2089.85,MXN,Transferencia internacional,Guadalajara,6.58464e+17,Transferencia personal,14:40:53,Pago internacional,635.02,-1454.83,Sucursal bancaria,Transferencia internacional,Completada,No
3232,6187,Estela Elisa Santillan Anaya,7.23803e+17,15/02/2025,622.13,MXN,Pago de nomina,Toluca,6.39426e+17,Ingreso,01:31:49,Nomina quincenal,59408.91,60031.04,App movil,SPEI,Completada,No
3233,13407,Claudio Anel Cordero,1.8493e+16,12/09/2025,1260.55,MXN,Transferencia,Culiacan,2.32587e+16,Servicios,21:59:56,Pago a proveedor,29357.27,28096.72,Sucursal bancaria,Transferencia bancaria,Completada,No
3234,3443,Laura Armas,8.31935e+17,28/09/2025,2028.85,MXN,Transferencia,Chihuahua,6.73767e+17,Transferencia personal,04:28:43,Transferencia a familiar,9682.45,7653.6,App movil,SPEI,Completada,No
3235,10837,Hermelinda Castaneda,2.5382e+17,09/10/2025,3556.72,MXN,Retiro,Merida,3.66312e+17,Efectivo,00:57:44,Retiro por emergencia,10144.74,6588.02,Sucursal bancaria,Efectivo,Completada,No
3236,21497,Nelly Celia Heredia Almonte,3.34175e+17,16/03/2025,877.43,MXN,Transferencia internacional,Ciudad de Mexico,3.76169e+17,Remesas,07:15:16,Pago internacional,16127.47,15250.04,Sucursal bancaria,SWIFT,Completada,No
3237,2014,Francisco Javier Aurora Linares,7.81225e+17,20/06/2025,1306.04,MXN,Compra en linea,Guadalajara,3.92445e+17,Consumo,06:38:13,Compra Mercado Libre,26184.2,24878.16,Web,Pago movil,Completada,No
3238,6141,Jorge Virginia Zapata,8.53541e+17,21/12/2024,186.1,MXN,Compra en linea,Guadalajara,7.36634e+16,Consumo,09:10:27,Compra Amazon,54932.77,54746.67,App movil,Tarjeta debito,Completada,No
3239,17740,Jose Eduardo Gabriel Florez,2.83018e+17,31/12/2024,576.08,MXN,Retiro,Aguascalientes,5.61858e+16,Efectivo,23:01:35,Retiro por emergencia,22118.66,22118.66,Sucursal bancaria,Efectivo,Pendiente,No
3240,17799,Ruby Delgado,5.74034e+17,06/04/2025,91.55,MXN,Pago de nomina,Veracruz,4.67161e+17,Nomina,11:09:05,Nomina quincenal,20618.61,20710.16,Sucursal bancaria,SPEI,Completada,No
3241,6832,Pilar Emiliano Sanchez,8.93477e+17,14/12/2024,2868.67,MXN,Compra en linea,Monterrey,1.06387e+17,Consumo,20:26:43,Compra Mercado Libre,27702.44,24833.77,Web,Tarjeta credito,Completada,No
3242,19948,Guillermina Escobar Saldana,8.42805e+17,16/08/2025,1511.41,MXN,Transferencia,Guadalajara,6.06535e+17,Transferencia personal,17:00:30,Pago a tercero,37824.67,36313.26,App movil,Transferencia bancaria,Completada,No
3243,20250,Nancy Mascarenas Ulibarri,2.27992e+17,16/12/2024,548.17,MXN,Transferencia internacional,Queretaro,6.47458e+16,Remesas,19:11:39,Pago internacional,27678.05,27129.88,Sucursal bancaria,Transferencia internacional,Completada,No
3244,21154,Esperanza Zavala Avila,7.03786e+17,31/08/2025,811.04,MXN,Pago de nomina,Hermosillo,7.73671e+17,Ingreso,15:28:01,Nomina quincenal,21917.39,21917.39,Sucursal bancaria,SPEI,Rechazada,No
3245,3869,Jesus Augusto Batista Duarte,7.38411e+17,13/08/2025,978.79,MXN,Compra en linea,Queretaro,3.06138e+17,Consumo,11:24:20,Compra tienda online,10819.03,9840.24,App movil,Tarjeta credito,Completada,No
3246,12916,Mariana Elsa Ayala,4.79332e+17,09/02/2025,136.98,MXN,Retiro,Veracruz,7.89684e+17,Efectivo,17:25:16,Retiro en ventanilla,30982.78,30845.8,Sucursal bancaria,Efectivo,Completada,No
3247,19044,Lorenzo Adame,9.97905e+17,09/03/2025,2454.36,MXN,Retiro,Aguascalientes,5.30973e+17,Consumo,16:34:05,Retiro en ventanilla,35509.89,33055.53,Sucursal bancaria,Efectivo,Completada,No
3248,16695,Julio Quezada,1.96439e+17,19/08/2025,809.27,MXN,Transferencia,Merida,5.26004e+17,Servicios,11:23:32,Abono a tarjeta,48113.88,47304.61,App movil,Transferencia bancaria,Completada,No
3249,11870,Rosalia Estela Anaya,4.34313e+17,10/06/2025,2966.27,MXN,Pago de servicio,Tuxtla Gutierrez,8.43243e+17,Servicios,18:14:46,Pago TV por cable,64482.09,61515.82,Domiciliacion,Tarjeta credito,Completada,No
3250,12184,Angel Verduzco,2.34169e+17,06/01/2025,163.22,MXN,Deposito,Toluca,2.34169e+17,Ingreso,13:22:11,Abono nomina,42202.67,42365.89,Cajero automatico,Efectivo,Completada,No
